Title,Manufacturer,kVA,KW,Voltage,Fuel Type,Rating,Enclosure,Description,Link
"Genset 1750kW 347/600V, Standby, Diesel, DQKB-5641334",CUMMINS,2187.5 kVA,,347/600 volts,Diesel,,,Model  DQKB-5641334   2004   A040595981   UNITED STATES   Used   2922 hp   Diesel   250   Skid Mounted   Standby Duty   2187.5 kVA   347/600 volts   3-phase   PDF ENGINE SPEC SHEET  Cummins Engine: QSK60-G6 Rated kW: 1750 kW  Power Factor: 0.8 I2 Capability Connection: Wye  Battery: 24 VDC Volts: 347/600 V  Amps: 2105 A Rotating Speed: 1800 rpm  Engine Advertised Power: 2179 kW @ 1800 rpm Fuel Rate at Advertised Power: 618 mm3/stroke  Injection Set: 18.6 Nm,https://www.lenmark.com//collections/generators/products/genset-1750kw-600v-standby-diesel-dqkb-5641334
2006 4.4 Megawatt Diesel Genset C280-3616,CATERPILLAR,5500 kVA,,,,,,"Model  C280-3616   2006   1PD00453   Used   5733 hp   58067   5500 kVA   Full Rebuilt @ 35,000 hrs  Professionally decommissioned by CATERPILLAR Technician - Report Available  Main Components  Main Engine KATO Alternator Surge Cabinet Control Centers, Panels, Switch Gears & Modules KIM Hot Start Panel Fuel Transducer Panel Fuel Cooler/Filter Assembly Oil Filter System Air Water Separator Neutral Grounding Transformer Generator Sync Panels 2 x Intake Air Filter Housings Isolator Fuel Cooler Radiator Exhaust Blankets  Governor System:  A-III Electronic Engine Control Module w/ Electronic Unit Injector Fuel System and Rigid Wiring Harness",https://www.lenmark.com//collections/generators/products/2006-4-4-megawatt-diesel-genset-c280-3616
2006 4.4 Megawatt Diesel Genset C280-3616,CATERPILLAR,5500 kVA,,,,,,"Model  C280-3616   2006   1PD00451   Used   5733 hp   49190   5500 kVA   Professionally decommissioned by CATERPILLAR Technician - Report Available  Main Components  Main Engine KATO Alternator Surge Cabinet Control Centers, Panels, Switch Gears & Modules KIM Hot Start Panel Fuel Transducer Panel Fuel Cooler/Filter Assembly Oil Filter System Air Water Separator Neutral Grounding Transformer Generator Sync Panels 2 x Intake Air Filter Housings Isolator Fuel Cooler Radiator Exhaust Blankets  Governor System:  A-III Electronic Engine Control Module w/ Electronic Unit Injector Fuel System and Rigid Wiring Harness",https://www.lenmark.com//collections/generators/products/2006-4-4-megawatt-diesel-genset-c280-3618
Genset 860 kW 480V Diesel Container w/ Chassis,MTU/MARATHON,1075 kVA,,480 volts,Diesel,,,"Model  MTU V16 2000 / Marathon 574RSL4038   2000   416715-006   UNITED STATES   Used   1495 hp   Diesel   8000   Trailer Mounted   Continuous Duty   1075 kVA   480 volts   3-phase   Synchronous AC Generator  Brand: Marathon Electric Model: 574RSL4038  Serial: WA-524677-0500 Type: RSL  Continuous Ratings: 860 kW, 1075 kVA, 480 V, 1293 A Frame: 574  Phase: 3 RPM: 1800 rpm  Rise By Res.: 105 C Field Amps: 2.2  Field Volts: 55 Engine Brand: MTU Detroit Diesel  Model: V16 2000 Series Family: YDDXL31.8VRE  Cylinder: 16 Advertised Power: 1115 kW (1495 hp)  1800 rpm  Displacement: 31.8 L Fuel Rate @ Advertised Power: 315.0 mm3/stroke  Initial Injection Timing: 14 deg. BTC Min. Idle Speed: 600 rpm  Container: 40 ft. high cube With Chassis Includes Fuel Tanks",https://www.lenmark.com//collections/generators/products/genset-860-kw-480v-diesel-container-w-chassis
17.6 Megawatt Full Power Plant Package,CATERPILLAR,33000 kVA,,,,,,"Model  C280-16 w/ Kato Generator   Used   4 x 5733 hp   33000 kVA   ** 22 Megawatt Power Plant For Sale  Five Caterpillar C280-16 Gensets   Serial: 1PD00451; Year: 2006; Hours: 49,190 hrs  Serial: 1PD00452; Year: 2006; Hours: 57,066 hrs - Major Rebuild 2015  Serial: 1PD00453; Year: 2006; Hours: 58,067 hrs - Major Rebuilt At 35,000 hrs  Serial: TDX00160; Year: 2014; Hours: 17,271 hrs  Six Stacks  Four built in 2006, one in 2014, one in 2018  Six Heat Recovery Boilers  Make: Cain Three built in 2006, one in 2014, one in 2018 Additional  Motor Control Centers  Water Jacket Heat Exchanger  Radiators  Cold Weather Package  Plant Brochure Generator Data Form Generator Fuel Consumption Rates Genset Diesel Engine Technical Data Engine Condition Analysis",https://www.lenmark.com//collections/generators/products/22-megawatt-full-power-plant-package
"1500scfm Low-Pressure Nitrogen Generator, Trailer-Mounted",SIMPRO,,,,,,,"Year:  2007   558498   Used   Overview:  Nitrogen generator, Containerized and Trailer mounted. Flow rate, onboard compressor only, 650scfm w/ P1 membranes, 750scfm w/ P3 membranes. Flow rate, with onboard and outboard external compressor, up to 1500scfm. Discharge pressure to 330psig. Discharge temperature < 300 Deg. F. Overall size: 31ft. x 8ft. x 12ft. tall.  Major Components:   Compressor: SULLAIR Rotary Screw Compressor 1150XHH/1350XHADLOF-CA3, Ser. 200710230019  Engine: CATERPILLAR C18 Industrial Diesel Engine, Ser. WJH03191  Trailer: CHASSIS KING PC6000, Ser. 1C9CK31218A681312  Operation Instructions  Full Components List  Controller Operating Manual",https://www.lenmark.com//collections/generators/products/1500scfm-low-pressure-nitrogen-generator-trailer-mounted
2006 4.4 Megawatt Diesel Genset C280-3616,CATERPILLAR,5500 kVA,,,,,,"Model  C280-3616   2006   1PD00452   Used   5733 hp   57066   5500 kVA   Rebuilt in 2015 @ - 50,000 hrs  Professionally decommissioned by CATERPILLAR Technician - Report Available  Main Components  Main Engine KATO Alternator Surge Cabinet Control Centers, Panels, Switch Gears & Modules KIM Hot Start Panel Fuel Transducer Panel Fuel Cooler/Filter Assembly Oil Filter System Air Water Separator Neutral Grounding Transformer Generator Sync Panels 2 x Intake Air Filter Housings Isolator Fuel Cooler Radiator Exhaust Blankets  Governor System:  A-III Electronic Engine Control Module w/ Electronic Unit Injector Fuel System and Rigid Wiring Harness",https://www.lenmark.com//collections/generators/products/2006-4-4-megawatt-diesel-genset-c280-3617
Generator Building 10'W x 40'L x 13'H,Lenmark Industries,,,,,,,"Condition  Used   ** Generator NOT INCLUDED  ** Switchgear Breakers can be sold separately. Call for availability  SKU: 108584 / 108585 / 108586 / 108587  Building Dimensions: 10'W x 40'L x 13'H Approximate Weight: 70,000 lbs.  Walls: Insulated Switchgear Main Breaker: 2000 A  Additional Breakers: (3) at 1000 A each Control Panel Ratings Voltage: 600 VAC  Amperage: 2000 A System: 3-phase, 4-wire  Short Circuit Rating: 50 kAIC @ 600 VAC Enclosure Rating: Type 1  Eaton Breaker Panelboard  Max. Amps: 125 A Enclosure: Type 1  Circuits: 48 circuits max. CSA / 42 circuits max. UL Steelcraft Aboveground Steel Tank Application: For fuel oil and lubricating oil - CAN/ULC-S602-07  Inner End/Side Thickness: 2.5 mm Outer End/Side Thickness: 2.5 mm  Tank Capacity: 680 L Gorman-Rupp Pumps Qty: 2  Horsepower: 1/2 hp Electrical: 1-ph, 115/230 V, 8.4/4.2 FLA  Pump Control Panel  Horsepower: 1/2 hp Electrical: 1-ph, 120 VAC, 9.8 A  Horn: 95 dB @ 1 ft.",https://www.lenmark.com//collections/generators/products/generator-building-10w-x-40l-x-13h
"Genset 681 kVA 480 V, Prime, Diesel, 3412",CATERPILLAR,681 kVA,,480 volts,Diesel,,,"Model  3412   1997   81Z20586   Used   817 hp   Diesel   681 kVA   480 volts   3-phase   PDF GENSET SPEC SHEET  Generator Data  Power Factor: 0.8 Duty Cycle: Prime  Current: 819 A Connection: Wye, Series  Excitation (Volts / Amps): 31 V / 6.5 A Frame: 593  Max. Temperature Rise: 105 C by resistance Engine Data Engine Rated HP: 817 hp @ 1800 rpm  Cylinder: V12 - Twelve cylinder Bore: 5.4""  Stroke: 6"" Displacement: 27.02 L  Bare Engine High Idle Speed: 1833 rpm Max. Altitude: 3000 m  Fuel Timing: 30.0 ATC Weights & Dimensions (Approx.) Length: 162.4""  Width: 78.3"" Height: 75""  Dry Weight: 12,590 lb",https://www.lenmark.com//collections/generators/products/genset-681-kva-480-v-prime-diesel-3412
"Genset 1125 kVA 480 V, Standby, Diesel, 3508",CATERPILLAR,1125 kVA,,480 volts,Diesel,,,"Model  3508   6NA01712   UNITED STATES   Used   1125 kVA   480 volts   3-phase   Diesel   Standby Duty   PDF ENGINE BROCHURE  Generator Data  Model: SR-4 kW Rating: 900 kW  Power Factor: 0.8 Current: 1353 A  Excitation (Volts / Amps): 37 V / 8.8 A Frame: 685  Max. Temperature Rise: 130 C by resistance Engine Data Serial: 23Z02665  Cylinder: V-8, 8 Cylinders Bore: 6.7""  Stroke: 7.5"" Displacement: 34.54 L",https://www.lenmark.com//collections/generators/products/genset-1125-kva-480-v-standby-diesel-3508
