Title,Manufacturer,Amps,Voltage,Max. Voltage,Bus Ratings,Electrical,Description,Link
SIEMENS Tiastar Motor Control Center (MCC) Section,SIEMENS,,,,,,"Model  TIASTAR   Used   Segment 1 Buckets   104289 - Full Voltage Non-Reversing MCC Bucket, Size 1  104290 - 9300 Series Power Meter MCC Bucket  104291 - Full Voltage Non-Reversing MCC Bucket, Size 2  104292 - Full Voltage Non-Reversing MCC Bucket, Size 2  104293 - Feeder Circuit Breaker MCC Bucket, 20A  104294 - Transformer MCC Bucket, 7.5kVA, Single-Phase Dry Type  104295 - Full Voltage Non-Reversing MCC Bucket, Size 3  104296 - Full Voltage Non-Reversing MCC Bucket, Size 3  104297 - Full Voltage Non-Reversing MCC Bucket, Size 3  104298 - Full Voltage Non-Reversing MCC Bucket, Size 3  104299 - Full Voltage Non-Reversing MCC Bucket, Size 3  Segment 2 Buckets   103742 - Full Voltage Non-Reversing MCC Bucket, Size 1  103743 - Full Voltage Non-Reversing MCC Bucket, Size 1  103744 - Full Voltage Non-Reversing MCC Bucket, Size 1  103745 - Full Voltage Non-Reversing MCC Bucket, Size 2  103746 - Full Voltage Non-Reversing MCC Bucket, Size 1  103747 - Full Voltage Non-Reversing MCC Bucket, Size 1  103748 - Dual 25A Circuit Breaker MCC Bucket  103749 - Full Voltage Non-Reversing MCC Bucket, Size 1  103750 - Dual 100A/60A Circuit Breaker MCC Bucket  103751 - Full Voltage Non-Reversing MCC Bucket, Size 5  Segment 3 Buckets   104326 - SIMOCODE Repeater MCC Bucket  104327 - Full Voltage Non-Reversing MCC Bucket, Size 2  104328 - Full Voltage Non-Reversing MCC Bucket, Size 1  104329 - Full Voltage Non-Reversing MCC Bucket, Size 1  104330 - Full Voltage Non-Reversing MCC Bucket, Size 1  104331 - Full Voltage Non-Reversing MCC Bucket, Size 2  104332 - Dual 30/15A Circuit Breaker MCC Bucket  104333 - Dual 20/30A Circuit Breaker MCC Bucket  104334 - Full Voltage Non-Reversing MCC Bucket, Size 1  104335 - Full Voltage Non-Reversing MCC Bucket, Size 1  104336 - Full Voltage Non-Reversing MCC Bucket, Size 3",https://www.lenmark.com//collections/mcc/products/siemens-tiastar-motor-control-center-mcc-section-1
SIEMENS Tiastar Motor Control Center (MCC) Section,SIEMENS,,,,,,"Model  TIASTAR   Used   Segment 1 Buckets   104569 - Full Voltage Non-Reversing MCC Bucket, Size 1  104570 - Full Voltage Non-Reversing MCC Bucket, Size 5  104571 - Full Voltage Non-Reversing MCC Bucket, Size 1  104572 - Full Voltage Non-Reversing MCC Bucket, Size 1  104573 - Full Voltage Non-Reversing MCC Bucket, Size 1  104574 - Full Voltage Contactor MCC Bucket, Size 1  104575 - Full Voltage Contactor MCC Bucket, Size 1  104576 - Full Voltage Contactor MCC Bucket, Size 1  104577 - Full Voltage Non-Reversing MCC Bucket, Size 1  Segment 2 Buckets   104703 - Full Voltage Non-Reversing MCC Bucket, Size 1  104704 - Full Voltage Non-Reversing MCC Bucket, Size 3  104705 - Full Voltage Non-Reversing MCC Bucket, Size 3  104706 - Full Voltage Non-Reversing MCC Bucket, Size 2  104707 - Full Voltage Non-Reversing MCC Bucket, Size 2  104708 - Full Voltage Non-Reversing MCC Bucket, Size 1  104709 - Full Voltage Non-Reversing MCC Bucket, Size 1  104710 - SIMOCODE Repeater MCC Bucket  104711 - Full Voltage Non-Reversing MCC Bucket, Size 2  104712 - Dual 15A Circuit Breaker MCC Bucket  104713 - Full Voltage Non-Reversing MCC Bucket, Size 1  Segment 3 Buckets   103712 - Full Voltage Non-Reversing MCC Bucket, Size 1  103713 - Full Voltage Non-Reversing MCC Bucket, Size 1  103714 - Full Voltage Non-Reversing MCC Bucket, Size 2  103715 - Full Voltage Non-Reversing MCC Bucket, Size 2  103716 - Full Voltage Non-Reversing MCC Bucket, Size 2  103717 - Full Voltage Non-Reversing MCC Bucket, Size 2  103718 - Full Voltage Non-Reversing MCC Bucket, Size 1  103719 - Full Voltage Non-Reversing MCC Bucket, Size 1  103720 - Full Voltage Non-Reversing MCC Bucket, Size 1  103721 - 9300 Series Power Meter MCC Bucket",https://www.lenmark.com//collections/mcc/products/siemens-tiastar-motor-control-center-mcc-section
Underground MCC Unit,CANELEC MFG.,,,4160,,,Condition  Surplus New   4160   MCC - Electrical Drawings  Unit has never been installed or energized.,https://www.lenmark.com//collections/mcc/products/underground-mcc-unit
"Medium Voltage Switchgear, 1200 Bus Amps, 4160 Bus Volts",WESTINGHOUSE,,,4160,,,Made In  CANADA   Used   4160   Number: MCC 28-51 Bus Amps: 1200 A  Bus Volts: 4160 V Phase: 3  Sections  250 HP // Qty 2 // Cable #2 // Phase CT Ratio 100-5 350 HP // Qty 1 // Cable #1/0 // Phase CT Ratio 100-5 700 HP // Qty 1 // Cable 250 // Phase CT Ratio 250-5,https://www.lenmark.com//collections/mcc/products/medium-voltage-switchgear-1200-bus-amps-4160-bus-volts
"5kV CENTERLINE 1500 Vacuum Starter Section 1512B-TXE, 2-High, 600HP, 1200A",ALLEN-BRADLEY,1200 amps,5000 volts,,"5000V Max., 1200A, 3-Ph, 60hz  Unit Ratings:",,"Model  1512B-TXE   7011738-003-11   Surplus New   1200 amps   5000 volts   3-phase   600 hp   Yes   Structure Series: M NEMA Type: 12  Bus Ratings:  5000V Max., 1200A, 3-Ph, 60hz  Unit Ratings:  Top: 260A Bottom: 300A Total Structure: 560A",https://www.lenmark.com//collections/mcc/products/5kv-centerline-1500-vacuum-starter-section-1512b-txe-2-high-600hp-1200a
"5kV CENTERLINE 1500 Vacuum Starter Section 1512B-TXE, 2-High, 600HP, 1200A",ALLEN-BRADLEY,1200 amps,5000 volts,,"5000V Max., 1200A, 3-Ph, 60hz  Unit Ratings:",,"Model  1512B-TXE   7011738-002-11   Surplus New   1200 amps   5000 volts   3-phase   600 hp   Yes   Structure Series: M NEMA Type: 12  Bus Ratings:  5000V Max., 1200A, 3-Ph, 60hz  Unit Ratings:  Top: 260A Bottom: 300A Total Structure: 560A",https://www.lenmark.com//collections/mcc/products/5kv-centerline-1500-vacuum-starter-section-1512b-txe-2-high-600hp-1200a-2
"Five Star Double-Sided Motor Control Center (MCC), 600V Max., 1000A, 70 Buckets",WESTINGHOUSE,,,600,"600V Max., 3-Ph, 3-W 1000A, 60hz",,"Condition  Used   600  Bus Rating: 600V Max., 3-Ph, 3-W 1000A, 60hz",https://www.lenmark.com//collections/mcc/products/five-star-double-sided-motor-control-center-mcc-600v-max-1000a-70-buckets
SIEMENS Tiastar Motor Control Center (MCC) Section,SIEMENS,,,,,,"Model  TIASTAR   Used   Segment 1 Buckets   103752 - Full Voltage Non-Reversing MCC Bucket, Size 3  103753 - 9300 Series Power Meter MCC Bucket  103754 - Full Voltage Non-Reversing MCC Bucket, Size 3  103755 - Feeder Circuit Breaker MCC Bucket, 20A  103756 - Full Voltage Non-Reversing MCC Bucket, Size 2  103757 - Full Voltage Non-Reversing MCC Bucket, Size 2  103758 - Full Voltage Non-Reversing MCC Bucket, Size 2  103759 - Full Voltage Non-Reversing MCC Bucket, Size 2  103760 - Full Voltage Non-Reversing MCC Bucket, Size 2  103761 - Full Voltage Non-Reversing MCC Bucket, Size 2  104288 - Full Voltage Non-Reversing MCC Bucket, Size 1  Segment 2 Buckets   104310 - Full Voltage Non-Reversing MCC Bucket, Size 1  104311 - Full Voltage Non-Reversing MCC Bucket, Size 2  104312 - Full Voltage Non-Reversing MCC Bucket, Size 2  104313 - Dual 125A/15A Circuit Breaker MCC Bucket  104314 - Full Voltage Non-Reversing MCC Bucket, Size 1  104315 - Full Voltage Non-Reversing MCC Bucket, Size 2  104316 - Full Voltage Non-Reversing MCC Bucket, Size 4  104317 - Full Voltage Non-Reversing MCC Bucket, Size 1  104318 - Full Voltage Non-Reversing MCC Bucket, Size 1  104319 - Full Voltage Non-Reversing MCC Bucket, Size 1  104320 - Full Voltage Non-Reversing MCC Bucket, Size 2  104321 - Feeder Circuit Breaker MCC Bucket, 400a",https://www.lenmark.com//collections/mcc/products/siemens-tiastar-motor-control-center-mcc-section-3
SIEMENS Tiastar Motor Control Center (MCC) Section,SIEMENS,,,,,,"Model  TIASTAR   Used   Segment 1 Buckets   104677 - Full Voltage Non-Reversing MCC Bucket, Size 2  104678 - Full Voltage Non-Reversing MCC Bucket, Size 2  104680 - Full Voltage Non-Reversing MCC Bucket, Size 2  104682 - Full Voltage Non-Reversing MCC Bucket, Size 1  104683 - Full Voltage Non-Reversing MCC Bucket, Size 1  104684 - Full Voltage Non-Reversing MCC Bucket, Size 3  104685 - Full Voltage Non-Reversing MCC Bucket, Size 2  104686 - Full Voltage Non-Reversing MCC Bucket, Size 2  104687 - Full Voltage Non-Reversing MCC Bucket, Size 3  Segment 2 Buckets   104585 - Full Voltage Non-Reversing MCC Bucket, Size 1  104586 - Full Voltage Non-Reversing MCC Bucket, Size 2  104587 - Full Voltage Non-Reversing MCC Bucket, Size 1  104588 - Full Voltage Non-Reversing MCC Bucket, Size 1  104589 - Full Voltage Non-Reversing MCC Bucket, Size 1  104590 - Full Voltage Non-Reversing MCC Bucket, Size 1  104591 - Full Voltage Non-Reversing MCC Bucket, Size 1  104592 - Dual 15A Circuit Breaker MCC Bucket  104593 - Full Voltage Non-Reversing MCC Bucket, Size 2  104594 - Full Voltage Non-Reversing MCC Bucket, Size 2  104595 - Full Voltage Non-Reversing MCC Bucket, Size 2  104596 - Full Voltage Non-Reversing MCC Bucket, Size 2  104597 - SIMOCODE Repeater MCC Bucket  104598 - Combination Motor Controller MCC Bucket w/ 10hp VFD",https://www.lenmark.com//collections/mcc/products/siemens-tiastar-motor-control-center-mcc-section-5
4160V (4.16kV) Power/Vac Switchgear Unit,GENERAL ELECTRIC,,4160 volts,,,,Condition  Used   4160 volts   3-phase,https://www.lenmark.com//collections/mcc/products/4160v-4-16kv-power-vac-switchgear-unit
