Title,Manufacturer,Amps,Voltage,Max. Voltage,Enclosure,Description,Link
"POWER-ZONE 4, 2500A Low-Voltage Switchgear Assembly",SQUARE D,2500 amps,600 volts,,,Model  POWER-ZONE 4   22874621-005   Used   2500 amps   600 volts   3-phase   Section 1 - Cells 1 & 2  Cell 1 - 2500A Bus Rating  1 x MASTERPACT NW 32 H1 Breaker WA4JFR44A9SXXXXXXA - 3200A Frame/Cap.  Cell 2 - 2500A Bus Rating  1 x MASTERPACT NW 08 H1 Breaker WN4AAR74A3SXXXXXCA - 800A Frame/Cap. 1 x MASTERPACT NW 16 H1 Breaker WA4EAR44A9SXXXXXXA - 1600A Frame/Cap.  Section 2 - Cells 3 & 4  Cell 3 - 2500A Bus Rating  1 x MASTERPACT NW 20 H1 Breaker WN4FFR74A3SFFFXXEA - 2000A Frame/Cap. 1 x MASTERPACT NW 16 H1 Breaker WA4EAR44A9SXXXXXXA - 1600A Frame/Cap. 1 x MASTERPACT NW 08 H1 Breaker WN4ASR74A3SXXXXXCA - 800A Frame/Cap.  Cell 4 - 2500A Bus Rating  1 x MASTERPACT NW 08 H1 Breaker WN4ASR74B3SXXXXXCA - 800A Frame/Cap. 1 x MASTERPACT NW 16 H1 Breaker WA4EAR44A9SXXXXXXA - 1600A Frame/Cap. 1 x MASTERPACT NW 08 H1 Breaker WN4ASR74B3SXXXXXCA - 800A Frame/Cap.  Section 3 - Cell 5 - Automatic Transfer System - Tie Breaker  Cell 5 - 2500A Bus Rating  1 x MASTERPACT NW 32 H1 Breaker WA4JFR44A9SXXXXXXA - 3200A Frame/Cap.  Section 4 - Cells 6 & 7  Cell 6 - 2500A Bus Rating  1 x MASTERPACT NW 08 H1 Breaker WN4AAR74A3SXXXXXCA - 800A Frame/Cap. 1 x MASTERPACT NW 16 H1 Breaker WA4EAR44A9SXXXXXXA - 1600A Frame/Cap. 1 x MASTERPACT NW 08 H1 Breaker WN4ASR74A3SXXXXXCA - 800A Frame/Cap.  Cell 7 - 2500A Bus Rating  1 x MASTERPACT NW 08 H1 Breaker WN4AAR74A3SXXXXXCA - 800A Frame/Cap. 1 x MASTERPACT NW 16 H1 Breaker WA4EAR44A9SXXXXXXA - 1600A Frame/Cap. 1 x MASTERPACT NW 08 H1 Breaker WN4ASR74C3SXXXXXCA - 800A Frame/Cap.  Section 5 - Cells 8 & 9  Cell 8 - 2500A Bus Rating  1 x MASTERPACT NW 20 H1 Breaker WN4FFR74A3SFFFXXEA - 2000A Frame/Cap. 1 x MASTERPACT NW 08 H1 Breaker WA4PPR44A9SXXXXXXA - 800A Frame/Cap.  Cell 9 - 2500A Bus Rating  1 x MASTERPACT NW 32 H1 Breaker WA4JFR44A9SXXXXXXA - 3200A Frame/Cap.,https://www.lenmark.com//collections/switches/products/power-zone-4-2500a-low-voltage-switchgear-assembly
"POWER-ZONE 4, 2500A LV Switchgear Section, 600V",SQUARE D,2500 amps,600 volts,,,Model  POWER-ZONE 4   22874621-005   Used   2500 amps   600 volts   3-phase   Section Components  First Cell - 2500A Bus Rating  1 x MASTERPACT NW 20 H1 Breaker WN4FFR74A3SFFFXXEA - 2000A Frame/Cap. 1 x MASTERPACT NW 08 H1 Breaker WA4PPR44A9SXXXXXXA - 800A Frame/Cap.  Second Cell - 2500A Bus Rating  1 x MASTERPACT NW 32 H1 Breaker WA4JFR44A9SXXXXXXA - 3200A Frame/Cap.,https://www.lenmark.com//collections/switches/products/power-zone-4-2500a-lv-switchgear-section-600v
"POWER-ZONE 4, 2500A LV Switchgear Section, 600V",SQUARE D,2500 amps,600 volts,,,Model  POWER-ZONE 4   22874621-005   Used   2500 amps   600 volts   3-phase   Section Components  First Cell - 2500A Bus Rating  1 x MASTERPACT NW 20 H1 Breaker WN4FFR74A3SFFFXXEA - 2000A Frame/Cap. 1 x MASTERPACT NW 16 H1 Breaker WA4EAR44A9SXXXXXXA - 1600A Frame/Cap. 1 x MASTERPACT NW 08 H1 Breaker WN4ASR74A3SXXXXXCA - 800A Frame/Cap.  Second Cell - 2500A Bus Rating  1 x MASTERPACT NW 08 H1 Breaker WN4ASR74B3SXXXXXCA - 800A Frame/Cap. 1 x MASTERPACT NW 16 H1 Breaker WA4EAR44A9SXXXXXXA - 1600A Frame/Cap. 1 x MASTERPACT NW 08 H1 Breaker WN4ASR74B3SXXXXXCA - 800A Frame/Cap.,https://www.lenmark.com//collections/switches/products/power-zone-4-2500a-lv-switchgear-section-600v-2
"Switchgear Unit, Type I.S., 600A, 5000V, 3-Ph",FEDERAL PIONEER,600 amps,5000 volts,,,S/N:  IS6583   Used   600 amps   5000 volts   3-phase,https://www.lenmark.com//collections/switches/products/switchgear-unit-type-i-s-600a-5000v-3-ph
High Voltage Metering Switchgear Outdoor 15kV Incoming,EPE,,,,,Condition  New   Product PDF  Includes:  EPEL load break switch BK3R 15KV EPEL manual operating isolation switch with padlock EPEL type VD4 600A 15KV vacuum circuit breaker,https://www.lenmark.com//collections/switches/products/high-voltage-metering-switchgear-outdoor-15kv-incoming
"Medium Voltage Disconnect Switch, 250A, 4160V, MVF-0400-4160-01-0000007",BENSHAW,250 amps,4160 volts,,,"Model  MVF-0400-4160-01-0000007   LIS012257   CANADA   Surplus New   250 amps   4160 volts   3-phase   Short Circuit Current: 50 kA rms symmetrical Max. Voltage: 4700 V  Enclosure Type: 1A FUSE Ferraz Shawmut, A055F1D0R0-200E 200E Amperes CONTACTOR Joslyn Clark, MVC77U034A50-76 40 Amp, 5.0kV, 3ph",https://www.lenmark.com//collections/switches/products/medium-voltage-disconnect-switch-250a-4160v-mvf-0400-4160-01-0000007
"POWER-ZONE 4, 2500A LV Switchgear Section, 600V",SQUARE D,2500 amps,600 volts,,,Model  POWER-ZONE 4   22874621-005   Used   2500 amps   600 volts   3-phase   Section Components  First Cell - 2500A Bus Rating  1 x MASTERPACT NW 32 H1 Breaker WA4JFR44A9SXXXXXXA - 3200A Frame/Cap.  Second Cell - 2500A Bus Rating  1 x MASTERPACT NW 08 H1 Breaker WN4AAR74A3SXXXXXCA - 800A Frame/Cap. 1 x MASTERPACT NW 16 H1 Breaker WA4EAR44A9SXXXXXXA - 1600A Frame/Cap.,https://www.lenmark.com//collections/switches/products/power-zone-4-2500a-lv-switchgear-section-600v-1
4000A Power Distribution Centre w/ 3000kVA Transformer,EATON CUTLER-HAMMER,4000 amps,,,,"Condition  Used   4000 amps   3-phase   Major Components   102487: 3000 kVA Transformer 4160V Pri., 600Y/347V Sec.  108866: 4.16kV MVS Load Interrupter Switch/Disconnect  108865: Magnum DS 4000A, 600/347V LV Switchgear Unit  Available Circuit Breakers for Switchgear   108843: Magnum DS 1200A, 3-Pole Circuit Breaker w/ 1600A Frame MDS616  108844: Magnum DS 600A, 3-Pole Circuit Breaker w/ 800A Frame MDS608  102173: Magnum DS 2000A, 3-Pole Circuit Breaker MDS620  103232: Magnum DS 800A, 3-Pole Circuit Breaker w/ 1600A Frame MDS616  103233: Magnum DS 400A, 3-Pole Circuit Breaker w/ 800A Frame MDS608  110273: Magnum DS 200A, 3-Pole Circuit Breaker w/ 800A Frame MDS608  110274: Magnum DS 1000A, 3-Pole Circuit Breaker w/ 1600A Frame MDS616  110275: Magnum DS 3000A, 3-Pole Circuit Breaker MDS630",https://www.lenmark.com//collections/switches/products/4000a-power-distribution-centre-w-3000kva-transformer
2000 Amp Automatic Transfer & Bypass Isolation Switch 7000 Series,ASCO,2000 amps,600 volts,,,"Model  G07ATB032000R5XF   2005   298602   CANADA   Very Good   2000 amps   600 volts   3-phase   Frame: G frame  Transition Type: Automatic, Open Transition Bypass  Neutral: No neutral  Enclosure: Type 3R  Withstand and Closing Ratings Switch Rating 30A-100A // Fuse Amps 200A // Fuse Class J // MCB Amps 100A // Short Circuit (100KA Fuse, 10KA MCB) Switch Rating 150A // Fuse Amps 200A // Fuse Class J // MCB Amps 150A // Short Circuit (100KA Fuse, 10KA MCB) Switch Rating 200A-400A // Fuse Amps 600A // Fuse Class J // MCB Amps 400A // Short Circuit (200KA Fuse, 22KA MCB) Switch Rating 600A-800A // Fuse Amps 1200A // Fuse Class L // MCB Amps 800A // Short Circuit (200KA Fuse, 42KA MCB) Switch Rating 1000A-1200A // Fuse Amps 2000A // Fuse Class L // MCB Amps 1200A // Short Circuit (200KA Fuse, 85KA MCB) Switch Rating 1600A-2000A // Fuse Amps 3000A // Fuse Class L // MCB Amps 2000A // Short Circuit (200KA Fuse, 100KA MCB)",https://www.lenmark.com//collections/switches/products/2000-amp-automatic-transfer-bypass-isolation-switch-7000-series
"Load Break Switch 400A, 4160V, MVD0400-4.16323-000000000-00000000-000",BENSHAW,400 amps,4160 volts,,,Model  MVD0400-4.16323-000000000-00000000-000   W300010116-14901   CANADA   Surplus New   400 amps   4160 volts   3-phase   Non-Fused   Short Circuit Current: 14 kA rms symmetrical Max. Voltage: 4160 V  Enclosure Type: 3R,https://www.lenmark.com//collections/switches/products/load-break-switch-400a-4160v-mvd0400-4-16323-000000000-00000000-000
2000 Amp Automatic Transfer & Bypass Isolation Switch G07ATB032000R5XF 7000 Ser,ASCO,2000 amps,600 volts,,,"Model  G07ATB032000R5XF   298610   CANADA   Very Good   2000 amps   600 volts   3-phase   Frame: G frame   Transition Type: Automatic, Open Transition Bypass  Neutral: No Neutral  Withstand and Closing Ratings Switch Rating 30A-100A // Fuse Amps 200A // Fuse Class J // MCB Amps 100A // Short Circuit (100KA Fuse, 10KA MCB) Switch Rating 150A // Fuse Amps 200A // Fuse Class J // MCB Amps 150A // Short Circuit (100KA Fuse, 10KA MCB) Switch Rating 200A-400A // Fuse Amps 600A // Fuse Class J // MCB Amps 400A // Short Circuit (200KA Fuse, 22KA MCB) Switch Rating 600A-800A // Fuse Amps 1200A // Fuse Class L // MCB Amps 800A // Short Circuit (200KA Fuse, 42KA MCB) Switch Rating 1000A-1200A // Fuse Amps 2000A // Fuse Class L // MCB Amps 1200A // Short Circuit (200KA Fuse, 85KA MCB) Switch Rating 1600A-2000A // Fuse Amps 3000A // Fuse Class L // MCB Amps 2000A // Short Circuit (200KA Fuse, 100KA MCB)",https://www.lenmark.com//collections/switches/products/2000-amp-automatic-transfer-bypass-isolation-switch-g07atb032000r5xf-7000-ser
25 kV 600A Pad-Mounted Switchgear PMH-19,S&C,600 amps,,,,"Model  PMH-19   1994   94T1855   CANADA   Used   600 amps   3-phase   Max Design Volts: 27 kV Nominal Volts: 25 kV  Poles: 3 BIL: 125 kV  Main Bus  Bus Amps, Continuous: 600 A Short Circuit Amperes RMS Sym.: 12,500 A  MVA 3-Phase Sym. at 25 kV: 540 MVA Fuses - Type SML-20 (With Uni-Rupter) Ampere Ratings Maximum: 200E or 200K  Load Splitting and Load Dropping: 200 A Duty-Cycle Fault-Closing Capability (One-Time / Two-Time): 20,000 A / 13,000 A  Mini-Rupter Switch(es) Ampere Ratings  Continuous: 600 A Load Splitting: 600 A  Load Dropping: 400 A Fault-Closing Duty-Cycle, Two-Time:  RMS Asym.: 22,400 A  RMS Sym.: 14,000 A  Peak: 35,000 A  Short-Time, RMS:  Momentary, Asym.: 22,400 A  One-second, Sym.: 14,000 A",https://www.lenmark.com//collections/switches/products/25-kv-600a-pad-mounted-switchgear-pmh-19
25kV 600A Switchgear Assembly SF1 3-Pole Circuit Breaker,UEE,600 amps,,,,"Year:  2008   1147   Used   600 amps   Voltage: 25 kV B.I.L.: 150 kV  Interrupting Capacity: 12 kA Gas Circuit Breaker Description: Schneider Electric SF1 series 3 Pole Gas Circuit Breaker  Rated Voltage: 24 KV Rated Current: 630 A  Isc: 12.5 kA Ic: 31.5 A  Gas: SF6 (sulfur hexafluoride), 0.147 kg",https://www.lenmark.com//collections/switches/products/25kv-600a-switchgear-assembly-sf1-3-pole-circuit-breaker
2000 Amp Automatic Transfer & Bypass Isolation Switch G07ATBA32000R5XF 7000 Ser,ASCO,2000 amps,600 volts,,,"Model  G07ATBA32000R5XF   311100   CANADA   Good   2000 amps   600 volts   3-phase   Frame: G frame   Transition Type: Automatic, Open Transition Bypass  Neutral: Solid Neutral",https://www.lenmark.com//collections/switches/products/2000-amp-automatic-transfer-bypass-isolation-switch-g07atba32000r5xf-7000-ser
2000 Amp Automatic Transfer & Bypass Isolation Switch G07ATB032000R5XF 7000 Ser,ASCO,2000 amps,600 volts,,,"Model  G07ATB032000R5XF   310446   CANADA   Good   2000 amps   600 volts   3-phase   Frame: G frame   Transition Type: Automatic, Open Transition Bypass  Neutral: No Neutral  Withstand and Closing Ratings Switch Rating 30A-100A // Fuse Amps 200A // Fuse Class J // MCB Amps 100A // Short Circuit (100KA Fuse, 10KA MCB) Switch Rating 150A // Fuse Amps 200A // Fuse Class J // MCB Amps 150A // Short Circuit (100KA Fuse, 10KA MCB) Switch Rating 200A-400A // Fuse Amps 600A // Fuse Class J // MCB Amps 400A // Short Circuit (200KA Fuse, 22KA MCB) Switch Rating 600A-800A // Fuse Amps 1200A // Fuse Class L // MCB Amps 800A // Short Circuit (200KA Fuse, 42KA MCB) Switch Rating 1000A-1200A // Fuse Amps 2000A // Fuse Class L // MCB Amps 1200A // Short Circuit (200KA Fuse, 85KA MCB) Switch Rating 1600A-2000A // Fuse Amps 3000A // Fuse Class L // MCB Amps 2000A // Short Circuit (200KA Fuse, 100KA MCB)",https://www.lenmark.com//collections/switches/products/2000-amp-automatic-transfer-bypass-isolation-switch-g07atb032000r5xf-7000-ser-1
25 kV 600A Pad-Mounted Switchgear PMH-19,S&C,600 amps,,,,"Model  PMH-19   1994   94T1837   CANADA   Used   600 amps   3-phase   Max Design Volts: 27 kV Nominal Volts: 25 kV  Poles: 3 BIL: 125 kV  Main Bus  Bus Amps, Continuous: 600 A Short Circuit Amperes RMS Sym.: 12,500 A  MVA 3-Phase Sym. at 25 kV: 540 MVA Fuses - Type SML-20 (With Uni-Rupter) Ampere Ratings Maximum: 200E or 200K  Load Splitting and Load Dropping: 200 A Duty-Cycle Fault-Closing Capability (One-Time / Two-Time): 20,000 A / 13,000 A  Mini-Rupter Switch(es) Ampere Ratings  Continuous: 600 A Load Splitting: 600 A  Load Dropping: 400 A Fault-Closing Duty-Cycle, Two-Time:  RMS Asym.: 22,400 A  RMS Sym.: 14,000 A  Peak: 35,000 A  Short-Time, RMS:  Momentary, Asym.: 22,400 A  One-second, Sym.: 14,000 A",https://www.lenmark.com//collections/switches/products/25-kv-pad-mounted-switchgear-pmh-19
"POWER-ZONE 4, 2500A LV Switchgear Tie-Breaker Section, 600V",SQUARE D,2500 amps,600 volts,,,Model  POWER-ZONE 4   22874621-005   Used   2500 amps   600 volts   3-phase   Section Components  2500A Bus Rating  1 x MASTERPACT NW 32 H1 Breaker WA4JFR44A9SXXXXXXA - 3200A Frame/Cap.,https://www.lenmark.com//collections/switches/products/power-zone-4-2500a-lv-switchgear-tie-breaker-section-600v
"Switchgear Unit 1200A, 4760V, 3PH",FEDERAL PIONEER,1200 amps,4160 volts,,,Condition  Used   1200 amps   4160 volts   3-phase   Interrupting Capacity: 23kA Insulation Level (BIL): 60 kV,https://www.lenmark.com//collections/switches/products/switchgear-unit-1200a-4760v-3ph-1
"Low Voltage Switchgear Unit 2000A, 347/600V, 3PH, PRL3000",CUTLER-HAMMER,2000 amps,347/600 volts,,,Model  PRL3000   Used   2000 amps   347/600 volts   3-phase   Main Bus Bar: 2000A Voltage: 347/600V  Phase: 3 Wire: 4  Symmetrical Amp: 50kA,https://www.lenmark.com//collections/switches/products/low-voltage-switchgear-unit-2000a-347-600v-3ph-prl3000-1
"Switchgear Unit, 1200A, 4160V, MVBTS-1200A-4160-1",BENSHAW,1200 amps,4160 volts,,,Model  MVBTS-1200A-4160-1   C1579-0649F1   CANADA   Used   1200 amps   4160 volts   3-phase   Short Circuit Current: 50 kA rms symmetrical Max. Voltage: 4160 V  Enclosure Type: 1A,https://www.lenmark.com//collections/switches/products/switchgear-unit-1200a-4160v-mvbts-1200a-4160-1
"Switchgear Unit 1200A, 4160V, 3PH, MVBTS-1200-4160-1",BENSHAW,1200 amps,4160 volts,,,Model  MVBTS-1200-4160-1   C1579-0649F2   CANADA   Surplus New   1200 amps   4160 volts   3-phase   Short Circuit Current: 50 kA rms symmetrical Max. Voltage: 4160 V  Enclosure Type: 1A,https://www.lenmark.com//collections/switches/products/switchgear-unit-1200a-4160v-3ph-mvbts-1200-4160-1
"Medium Voltage Switchgear Assembly Type VCW, GO: CALW07636, 15kV, 3ph, 1200A",EATON,1200 amps,,,,Year:  2015   Surplus New   1200 amps   3-phase   Rated Max Voltage: 15kV Power Frequency Withstand: 36kV  LIWV (BIL)/Tension 95kV Frequency: 60 Hz  Current Rating: 1200A,https://www.lenmark.com//collections/switches/products/medium-voltage-switchgear-assembly-type-vcw-go-calw07636-15kv-3ph-1200a
