Title,Manufacturer,Amps,Voltage,Max. Voltage,Enclosure,Description,Link
15kV 1200A Vacuum Circuit Breaker 150VCP-W25,EATON,1200 amps,15000 volts,,,Model  150VCP-W25   141202425   UNITED STATES   Surplus New   1200 amps   3   15000 volts   3-phase   Max. Voltage: 15 kV RMS Lightning Imp. Withstand Voltage: 95 kV peak  Standard Operating Duty: O-0.3S-CO-3M-CO Interrupting Time: 50 ms  Short Circuit Current: 25 kA RMS Close & Latch Current: 65 kA peak  Duration of Short-Time Current: 2 s Single Bank Cap. Current: 75A-630A RMS  Back to Back Bank Cap. Current: 75A-630A RMS Inrush Current Peak: 6 kA  Inrush Current Frequency: 800 Hz Motor Voltage Range: 125 VDC/AC  Close Control Voltage Range: 100-140 VDC Close Current: 6.6 A  Trip #1 Control Voltage Range: 70-140 VDC Trip #1 Current: 6.6 A  Mount: Draw-out,https://www.lenmark.com//collections/breakers/products/15kv-1200a-vacuum-circuit-breaker-150vcp-w25-3
"3000A, 600V Switchgear 02877-A4-88 w/ Control Module & 4 x 50HL-3 Air Breakers",FEDERAL PIONEER,,,600,,Model  02877-A4-88   Used   600   Breaker 1:  Type: 50HL-3 Poles: 3  Volts: 600 Frame Size: 1600  Relay: 1000 Int. Capacity: 200kA  Contact I.C.: 50kA Control: 120VAC  Frequency: 60hz Serial: BH34583-87  Breaker 2:  Type: 50HL-3 Poles: 3  Volts: 600 Frame Size: 1600  Relay: 1280 Int. Capacity: 200kA  Contact I.C.: 50kA Control: 120VAC  Frequency: 50hz Serial: BH47815-95  Breaker 3:  Type: 50HL-3 Poles: 3  Volts: 600 Frame Size: 1600  Relay: 1000 Int. Capacity: 200kA  Contact I.C.: 50kA Frequency: 60hz  Serial: BH34594-87 Breaker 4: Type: 50HL-3  Poles: 3 Volts: 600  Frame Size: 1600 Relay: 1000  Int. Capacity: 200kA Contact I.C.: 50kA  Control: 120VAC Frequency: 60hz  Serial: BH34586-87,https://www.lenmark.com//collections/breakers/products/3000a-600v-switchgear-02877-a4-88-w-control-module-4-x-50hl-3-air-breakers
15kV 1200A Vacuum Circuit Breaker 150VCP-W25,EATON,1200 amps,15000 volts,,,Model  150VCP-W25   141200446   UNITED STATES   Surplus New   1200 amps   3   15000 volts   3-phase   Max. Voltage: 15 kV RMS Lightning Imp. Withstand Voltage: 95 kV peak  Standard Operating Duty: O-0.3S-CO-3M-CO Interrupting Time: 50 ms  Short Circuit Current: 25 kA RMS Close & Latch Current: 65 kA peak  Duration of Short-Time Current: 2 s Single Bank Cap. Current: 75A-630A RMS  Back to Back Bank Cap. Current: 75A-630A RMS Inrush Current Peak: 6 kA  Inrush Current Frequency: 800 Hz Motor Voltage Range: 125 VDC/AC  Close Control Voltage Range: 100-140 VDC Close Current: 6.6 A  Trip #1 Control Voltage Range: 70-140 VDC Trip #1 Current: 6.6 A  Mount: Draw-out,https://www.lenmark.com//collections/breakers/products/15kv-1200a-vacuum-circuit-breaker-150vcp-w25-4
1200 Amp 4.16kV 3 Phase Power/Vac Switchgear Unit 0197A1313,GENERAL ELECTRIC,1200 amps,,,,Model  0197A1313   Used   1200 amps,https://www.lenmark.com//collections/breakers/products/1200-amp-4-16kv-3-phase-power-vac-switchgear-unit-0197a1313
1200 Amp 4.16kV 3 Phase Power/Vac Switchgear Unit 0197A1313,GENERAL ELECTRIC,1200 amps,,,,Model  0197A1313   Used   1200 amps   Switchgear Unit With:  GE-750 Feder management relay  Feder Protection Relay  Multifunction Meter  Voltmeter Switch  Voltmeter  Meter and Relay Input Fuse Block,https://www.lenmark.com//collections/breakers/products/1200-amp-4-16kv-3-phase-power-vac-switchgear-unit-0197a1313-1
15kV 1200A Vacuum Circuit Breaker 150VCP-W25,EATON,1200 amps,15000 volts,,,Model  150VCP-W25   150100225   UNITED STATES   Surplus New   1200 amps   3   15000 volts   3-phase   Max. Voltage: 15 kV RMS Lightning Imp. Withstand Voltage: 95 kV peak  Standard Operating Duty: O-0.3S-CO-3M-CO Interrupting Time: 50 ms  Short Circuit Current: 25 kA RMS Close & Latch Current: 65 kA peak  Duration of Short-Time Current: 2 s Single Bank Cap. Current: 75A-630A RMS  Back to Back Bank Cap. Current: 75A-630A RMS Inrush Current Peak: 6 kA  Inrush Current Frequency: 800 Hz Motor Voltage Range: 125 VDC/AC  Close Control Voltage Range: 100-140 VDC Close Current: 6.6 A  Trip #1 Control Voltage Range: 70-140 VDC Trip #1 Current: 6.6 A  Mount: Draw-out,https://www.lenmark.com//collections/breakers/products/15kv-1200a-vacuum-circuit-breaker-150vcp-w25-2
"3000A, 600V Switchgear 02877-A2-88 w/ Control Module & 3 x 50HL-3 Air Breakers",FEDERAL PIONEER,,,600,,Model  02877-A2-88   Used   600   Breaker 1:  Type: 50HL-3 Poles: 3  Volts: 600 Frame Size: 1600  Relay: 1000 Int. Capacity: 200kA  Contact I.C.: 50kA Control: 120VAC  Frequency: 60hz Serial: BH34573-87  Breaker 2:  Type: 50HL-3 Poles: 3  Volts: 600 Frame Size: 1600  Relay: 1000 Int. Capacity: 200kA  Contact I.C.: 50kA Control: 120VAC  Frequency: 60hz Serial: BH34577-87  Breaker 3:  Type: 50HL-3 Poles: 3  Volts: 600 Frame Size: 1600  Relay: 1000 Int. Capacity: 200kA  Contact I.C.: 50kA Control: 120VAC  Frequency: 60hz Serial: BH34597-87,https://www.lenmark.com//collections/breakers/products/3000a-600v-switchgear-02877-a2-88-w-control-module-3-x-50hl-3-air-breakers
15kV 1200A Vacuum Circuit Breaker 150VCP-W25,EATON,1200 amps,15000 volts,,,Model  150VCP-W25   150100185   UNITED STATES   Surplus New   1200 amps   3   15000 volts   3-phase   Max. Voltage: 15 kV RMS Lightning Imp. Withstand Voltage: 95 kV peak  Standard Operating Duty: O-0.3S-CO-3M-CO Interrupting Time: 50 ms  Short Circuit Current: 25 kA RMS Close & Latch Current: 65 kA peak  Duration of Short-Time Current: 2 s Single Bank Cap. Current: 75A-630A RMS  Back to Back Bank Cap. Current: 75A-630A RMS Inrush Current Peak: 6 kA  Inrush Current Frequency: 800 Hz Motor Voltage Range: 125 VDC/AC  Close Control Voltage Range: 100-140 VDC Close Current: 6.6 A  Trip #1 Control Voltage Range: 70-140 VDC Trip #1 Current: 6.6 A  Mount: Draw-out,https://www.lenmark.com//collections/breakers/products/15kv-1200a-vacuum-circuit-breaker-150vcp-w25-1
"3000A, 600V Switchgear 02877-A6-88 w/ Control Module & 3 x 50HL-3 Air Breakers",FEDERAL PIONEER,,,600,,Model  02877-A6-88   Used   600   Breaker 1:  Type: 50HL-3 Poles: 3  Volts: 600 Frame Size: 1600  Relay: 1000 Int. Capacity: 200kA  Contact I.C.: 50kA Control: 120VAC  Frequency: 60hz Serial: BH34592-87  Breaker 2:  Type: 50HL-3 Poles: 3  Volts: 600 Frame Size: 1600  Relay: 1000 Int. Capacity: 200kA  Contact I.C.: 50kA Control: 120VAC  Frequency: 60hz Serial: BH34590-87  Breaker 3:  Type: 50HL-3 Poles: 3  Volts: 600 Frame Size: 1600  Relay: 1000 Int. Capacity: 200kA  Contact I.C.: 50kA Control: 120VAC  Frequency: 60hz Serial: BH34591-87,https://www.lenmark.com//collections/breakers/products/3000a-600v-switchgear-02877-a6-88-w-control-module-3-x-50hl-3-air-breakers
15kV 1200A Vacuum Circuit Breaker 150VCP-W25,EATON,1200 amps,15000 volts,,,Model  150VCP-W25   141200065   UNITED STATES   Surplus New   1200 amps   3   15000 volts   3-phase   Max. Voltage: 15 kV RMS Lightning Imp. Withstand Voltage: 95 kV peak  Standard Operating Duty: O-0.3S-CO-3M-CO Interrupting Time: 50 ms  Short Circuit Current: 25 kA RMS Close & Latch Current: 65 kA peak  Duration of Short-Time Current: 2 s Single Bank Cap. Current: 75A-630A RMS  Back to Back Bank Cap. Current: 75A-630A RMS Inrush Current Peak: 6 kA  Inrush Current Frequency: 800 Hz Motor Voltage Range: 125 VDC/AC  Close Control Voltage Range: 100-140 VDC Close Current: 6.6 A  Trip #1 Control Voltage Range: 70-140 VDC Trip #1 Current: 6.6 A  Mount: Draw-out,https://www.lenmark.com//collections/breakers/products/15kv-1200a-vacuum-circuit-breaker-150vcp-w25
