Title,Manufacturer,kVA,Primary Voltage,Secondary Voltage,Phase,Oil vs Dry,Transformer Type,Enclosure,Description,Link
"7500/10000 kVA Isolation Transformer, Pri. 13200 Volts, Sec. 4160Y/2402 Volts",DELTA,7500/10000 kVA,13200 volts,4160Y/2402 volts,3-phase,Dry,Power Transformer,Nema 2,"Model  E-CP3C7500 S013192-001   2014   PXB-0011-216064   Used   7500/10000 kVA   13200 volts   4160Y/2402 volts   3-phase   Power Transformer   Isolation   Dry   Nema 2   Power @ 115C Temp. Rise, ANN Cooling: 7500 kVA Power @ 115C Temp. Rise, AFN Cooling: 10000 kVA  Class: 220",https://www.lenmark.com//collections/dry-type-transformer/products/7500-kva-isolation-transformer-pri-13200-volts-sec-4160y-2402-volts
4000A Power Distribution Centre w/ 3000kVA Transformer,EATON CUTLER-HAMMER,,,,3-phase,,,,"Condition  Used   4000 amps   3-phase   Major Components   102487: 3000 kVA Transformer 4160V Pri., 600Y/347V Sec.  108866: 4.16kV MVS Load Interrupter Switch/Disconnect  108865: Magnum DS 4000A, 600/347V LV Switchgear Unit  Available Circuit Breakers for Switchgear   108843: Magnum DS 1200A, 3-Pole Circuit Breaker w/ 1600A Frame MDS616  108844: Magnum DS 600A, 3-Pole Circuit Breaker w/ 800A Frame MDS608  102173: Magnum DS 2000A, 3-Pole Circuit Breaker MDS620  103232: Magnum DS 800A, 3-Pole Circuit Breaker w/ 1600A Frame MDS616  103233: Magnum DS 400A, 3-Pole Circuit Breaker w/ 800A Frame MDS608  110273: Magnum DS 200A, 3-Pole Circuit Breaker w/ 800A Frame MDS608  110274: Magnum DS 1000A, 3-Pole Circuit Breaker w/ 1600A Frame MDS616  110275: Magnum DS 3000A, 3-Pole Circuit Breaker MDS630",https://www.lenmark.com//collections/dry-type-transformer/products/4000a-power-distribution-centre-w-3000kva-transformer
"7500/10000 kVA Isolation Transformer, Pri. 13200 Volts, Sec. 4160Y/2402 Volts",DELTA,7500/1000 kVA,13200 volts,4160Y/2402 volts,3-phase,Dry,Power Transformer,Nema 2,"Model  E-CP3C7500 S013212-001   2014   PXB-0012-216065   Used   7500/1000 kVA   13200 volts   4160Y/2402 volts   3-phase   Power Transformer   Isolation   Dry   Nema 2   Power @ 115C Temp. Rise, ANN Cooling: 7500 kVA Power @ 115C Temp. Rise, AFN Cooling: 10000 kVA  Class: 220",https://www.lenmark.com//collections/dry-type-transformer/products/7500-kva-isolation-transformer-pri-13200-volts-sec-4160y-2402-volts-1
E-House Package w/ 770kVA Step-Up Transformer 540V to 4160Y/2402V & 950HP VFD,Lenmark Industries,,,,,,,,"Condition  Used   General Specifications:   Outside Dimensions (LxWxH): 264in. x 132in. x 132in.  Inside Dimensions (LxWxH): Pending  Includes:  770kVA Step-Up Transformer 540V Pri., 4160Y/2402V Sec.  ABB 710kW (950HP) Variable Frequency Drive (VFD)  Main Disconnect  Low-Voltage Distribution  Fire Suppression System  HVAC System  Lighting  DELTA EVI Step-Up Transformer Specifications:  Model No.: E-CM3C0770 S005830-001  CAT No.: CM3C0770 S005830  Serial No.: MPK-0005-171093  kVA: 770kVA  Primary: 540V, 10kV BIL  Secondary: 4160Y/2402V, 30kV BIL  Phase: 3-Ph  ABB Variable Frequency Drive (VFD)  Base Model No.: ACS800-37-0870-7  Options: C134+E206+G340+H351+H353+K454+L504+P902+Q951+R700  Nominal Ratings:  Amps (1N): 657A  Amps (Cont. Max.): 729A  Amps (Max.): 1091A  Input:  U: 3-Ph, 525...690 (600 UL,CSA)V, IP21, Type 1  I: 657A  f: 48...63hz  Icc: 65kA  Output:  U: 3-Ph, 0...UInput V  I: 729A  f: 0...100hz  Normal Duty: 710kW (950HP), 729A  Light Duty: 710kW (950HP), 700A  Heavy Duty: 500kW (670HP), 545A  Heat Dissipation: 32kW  Air-Flow: 6400m3/h  Noise Level: 77dBA",https://www.lenmark.com//collections/dry-type-transformer/products/e-house-package-w-770kva-step-up-transformer-540v-to-4160y-2402v-950hp-vfd
3000 kVA Transformer 4160V Pri. 600Y/347V Sec.,EATON CUTLER-HAMMER,3000 kVA,4160 volts,600Y/347 volts,3-phase,Dry,,Nema 2,Year:  2006   C21436   Used   3000 kVA   4160 volts   600Y/347 volts   3-phase   Dry   Nema 2,https://www.lenmark.com//collections/dry-type-transformer/products/3000-kva-transformer-4160v-pri-600y-347v-sec
"Underground Substation w/ 800kVA Transformer, 4160V HV, 600Y/346V LV",CANELEC MFG.,800 kVA,4160 volts,600Y/347 volts,3-phase,Dry,,Nema 3R,"S/N:  8073   Surplus New   800 kVA   4160 volts   600Y/347 volts   3-phase   Dry   Nema 3R   Substation - Electrical Drawings  Transformer:  Make: HAMMOND POWER SOLUTIONS INC. Description: 3-Phase, Dry Type Transformer  Serial No.: DB08E69 Part No.: 187937  kVA: 800kVA  HV: 4160V  BIL kV: 30 LV: 600Y/346V, 770A  BIL kV: 10  Type K Class: ANN Enclosure: NEMA-3R  Winding: CU Unit has never been installed or energized.",https://www.lenmark.com//collections/dry-type-transformer/products/underground-substation-w-800kva-transformer-4160v-hv-600y-346v-lv
"5000 kVA Transformer, Pri. 24940 volts, Sec. 4160Y/2400 volts",GENERAL ELECTRIC,5000 kVA,24940 volts,4160Y/2400 volts,3-phase,Dry,Distribution Transformer,,Model  XT 5000 7Z CC H   1993   CK-0335-7496   Used   5000 kVA   24940 volts   4160Y/2400 volts   3-phase   Distribution Transformer   Isolation   Dry  Reference: 07496,https://www.lenmark.com//collections/dry-type-transformer/products/5000-kva-transformer-pri-24940-volts-sec-4160y-2400-volts
"2000 kVA Isolation Transformer, Pri. 13200V, Sec. 600Y/346V",HAMMOND POWER SOLUTIONS INC.,2000 kVA,13200 volts,600Y/347 volts,3-phase,Dry,,Nema 2,Year:  2015   DB07E47   CANADA   Used   2000 kVA   13200 volts   600Y/347 volts   3-phase   Isolation   Dry   Nema 2   Part Number: 183767 Type K Class: ANN  Temp. Rise: 150C Temp. Class: 220,https://www.lenmark.com//collections/dry-type-transformer/products/2000-kva-isolation-transformer-pri-13200v-sec-600y-346v
"500kVA, 3-Ph Isolation Transformer BA500J-HC/Z3, 600V Pri., 240/480V Sec.",REX POWER MAGNETICS,500 kVA,600 volts,240/480 volts,3-phase,Dry,Distribution Transformer,Nema 3R,Model  BA500J-HC/Z3   New   500 kVA   600 volts   240/480 volts   3-phase   Distribution Transformer   Isolation   Dry   Nema 3R  Photos Pending.,https://www.lenmark.com//collections/dry-type-transformer/products/500kva-3-ph-isolation-transformer-ba500j-hc-z3-600v-pri-240-480v-sec
"1320 kVA Isolation Transformer 5H3-1500E-40A, 4160V HV, 575/332 LV",POLYGON JEFFERSON ELECTRIC,1320 kVA,4160 volts,575Y/332 volts,3-phase,Dry,,,Model  5H3-1500E-40A   26875-1   Used   1320 kVA   4160 volts   575Y/332 volts   3-phase   Isolation   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/1320-kva-isolation-transformer-5h3-1500e-40a-4160v-hv-575-332-lv
